Current time: 0.0  Status: Optimal (5.0 ms)   
Current time: 0.1  Status: Optimal (8.0 ms)   
Current time: 0.1  Status: Optimal (7.0 ms)   
Current time: 0.2  Status: Optimal (7.0 ms)   
Current time: 0.2  Status: Optimal (8.0 ms)   
Current time: 0.3  Status: Optimal (7.0 ms)   
Current time: 0.3  Status: Optimal (18.0 ms)   
Current time: 0.4  Status: Optimal (7.0 ms)   
Current time: 0.4  Status: Optimal (8.0 ms)   
Current time: 0.5  Status: Optimal (7.0 ms)   
Current time: 0.5  Status: Optimal (7.0 ms)
Current time: 0.6  Status: Optimal (9.0 ms)   
Current time: 0.6  Status: Optimal (18.0 ms)
Current time: 0.7  Status: Optimal (8.0 ms)   
Current time: 0.7  Status: Optimal (6.0 ms)
Current time: 0.8  Status: Optimal (7.0 ms)   
Current time: 0.8  Status: Optimal (9.0 ms)   
Current time: 0.9  Status: Optimal (8.0 ms)   
Current time: 0.9  Status: Optimal (11.0 ms)
Current time: 1.0  Status: Optimal (8.0 ms)   
Current time: 1.0  Status: Optimal (8.0 ms)
Current time: 1.0  Status: Optimal (19.0 ms)   
Current time: 1.1  Status: Optimal (11.0 ms)   
Current time: 1.1  Status: Optimal (23.0 ms)   
Current time: 1.2  Status: Optimal (10.0 ms)
Current time: 1.2  Status: Optimal (15.0 ms)   
Current time: 1.3  Status: Optimal (13.0 ms)   
Current time: 1.3  Status: Optimal (18.0 ms)   
Current time: 1.4  Status: UserLimit (60.0 ms)   
Current time: 1.4  Status: UserLimit (53.0 ms)   
Current time: 1.5  Status: UserLimit (53.0 ms)   
Current time: 1.5  Status: UserLimit (53.0 ms)   
Current time: 1.6  Status: UserLimit (59.0 ms)   
Current time: 1.6  Status: UserLimit (54.0 ms)   
Current time: 1.7  Status: UserLimit (54.0 ms)   
Current time: 1.7  Status: UserLimit (53.0 ms)   
Current time: 1.8  Status: UserLimit (53.0 ms)   
Current time: 1.8  Status: UserLimit (56.0 ms)   
Current time: 1.9  Status: UserLimit (52.0 ms)   
Current time: 1.9  Status: UserLimit (53.0 ms)   
Current time: 2.0  Status: UserLimit (53.0 ms)   
Current time: 2.0  Status: UserLimit (54.0 ms)   
Current time: 2.1  Status: UserLimit (55.0 ms)   
Current time: 2.1  Status: UserLimit (56.0 ms)   
Current time: 2.2  Status: UserLimit (56.0 ms)   
Current time: 2.2  Status: UserLimit (54.0 ms)   
Current time: 2.3  Status: UserLimit (54.0 ms)   
Current time: 2.3  Status: UserLimit (55.0 ms)   
Current time: 2.4  Status: UserLimit (51.0 ms)   
Current time: 2.4  Status: InFeasible (51.0 ms)   
Current time: 2.5  Status: UserLimit (53.0 ms)   
Current time: 2.5  Status: UserLimit (59.0 ms)   
Current time: 2.6  Status: InFeasible (48.0 ms)   
Current time: 2.6  Status: InFeasible (45.0 ms)   
Current time: 2.7  Status: InFeasible (52.0 ms)   
Current time: 2.7  Status: InFeasible (52.0 ms)   
Current time: 2.8  Status: InFeasible (48.0 ms)   
Current time: 2.8  Status: UserLimit (53.0 ms)   
Current time: 2.9  Status: UserLimit (54.0 ms)   
